date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:05:54	26141/26141	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202019%2006:05:54%20GMT	https://www.strong.io/	Z:/PycharmProjects/website_copy/strong/www.strong.io/index.html	(from )
14:05:54	24/24	---M--	200	added ('OK')	text/plain	etag:%2218-54ceecb3956c9%22	https://www.strong.io/robots.txt		(from )
14:05:54	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	Z:/PycharmProjects/website_copy/strong/www.google-analytics.com/analytics.js	(from https://www.strong.io/)
14:05:54	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2247e-54d63a37d0309%22	https://www.strong.io/favicon.ico	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon.ico	(from https://www.strong.io/)
14:05:55	1702/1702	---M--	200	added ('OK')	image/png	etag:%226a6-54d63a37d12a9%22	https://www.strong.io/favicon/apple-icon-57x57.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/apple-icon-57x57.png	(from https://www.strong.io/)
14:05:55	1775/1775	---M--	200	added ('OK')	image/png	etag:%226ef-54d63a37d12a9%22	https://www.strong.io/favicon/apple-icon-60x60.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/apple-icon-60x60.png	(from https://www.strong.io/)
14:05:56	1949/1949	---M--	200	added ('OK')	image/png	etag:%2279d-54d63a37d12a9%22	https://www.strong.io/favicon/apple-icon-72x72.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/apple-icon-72x72.png	(from https://www.strong.io/)
14:05:56	2052/2052	---M--	200	added ('OK')	image/png	etag:%22804-54d63a37d12a9%22	https://www.strong.io/favicon/apple-icon-76x76.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/apple-icon-76x76.png	(from https://www.strong.io/)
14:05:57	2606/2606	---M--	200	added ('OK')	image/png	etag:%22a2e-54d63a37d12a9%22	https://www.strong.io/favicon/apple-icon-114x114.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/apple-icon-114x114.png	(from https://www.strong.io/)
14:05:58	2669/2669	---M--	200	added ('OK')	image/png	etag:%22a6d-54d63a37d12a9%22	https://www.strong.io/favicon/apple-icon-120x120.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/apple-icon-120x120.png	(from https://www.strong.io/)
14:05:58	5789/5789	---M--	200	added ('OK')	image/png	etag:%22169d-54d63a37d12a9%22	https://www.strong.io/favicon/apple-icon-144x144.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/apple-icon-144x144.png	(from https://www.strong.io/)
14:05:59	6148/6148	---M--	200	added ('OK')	image/png	etag:%221804-54d63a37d12a9%22	https://www.strong.io/favicon/apple-icon-152x152.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/apple-icon-152x152.png	(from https://www.strong.io/)
14:05:59	7845/7845	---M--	200	added ('OK')	image/png	etag:%221ea5-54d63a37d12a9%22	https://www.strong.io/favicon/apple-icon-180x180.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/apple-icon-180x180.png	(from https://www.strong.io/)
14:06:00	7066/7066	---M--	200	added ('OK')	image/png	etag:%221b9a-54d63a37d12a9%22	https://www.strong.io/favicon/android-icon-192x192.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/android-icon-192x192.png	(from https://www.strong.io/)
14:06:00	1334/1334	---M--	200	added ('OK')	image/png	etag:%22536-54d63a37d12a9%22	https://www.strong.io/favicon/favicon-32x32.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/favicon-32x32.png	(from https://www.strong.io/)
14:06:01	2348/2348	---M--	200	added ('OK')	image/png	etag:%2292c-54d63a37d12a9%22	https://www.strong.io/favicon/favicon-96x96.png	Z:/PycharmProjects/website_copy/strong/www.strong.io/favicon/favicon-96x96.png	(from https://www.strong.io/)
